"","site_network_id","site","site_name","variable","date_started","date_ended","site_type","latitude","longitude","data_table","database_name"
"134",185,"gib18","Moorish Castle Estate","benzene",2005-02-02,NA,"suburban",36.14422,-5.3508,"md_measurement","gibraltar"
"135",194,"gib19","North Mole","toluene",2005-02-02,NA,"kerbside",36.14842,-5.36164,"md_measurement","gibraltar"
"136",193,"gib19","North Mole","oxylene",2005-02-02,NA,"kerbside",36.14842,-5.36164,"md_measurement","gibraltar"
"137",192,"gib19","North Mole","mpxylene",2005-02-02,NA,"kerbside",36.14842,-5.36164,"md_measurement","gibraltar"
"138",191,"gib19","North Mole","ethbenz",2005-02-02,NA,"kerbside",36.14842,-5.36164,"md_measurement","gibraltar"
"139",190,"gib19","North Mole","benzene",2005-02-02,NA,"kerbside",36.14842,-5.36164,"md_measurement","gibraltar"
"140",169,"gib14","Prince Edwards Road","no2",2005-02-02,NA,"kerbside",36.137404,-5.352179,"md_measurement","gibraltar"
"141",156,"gib6","Queensway","no2",2005-02-02,NA,"roadside",36.141443,-5.355986,"md_measurement","gibraltar"
"142",155,"gib6","Queensway","toluene",2005-02-02,NA,"roadside",36.141443,-5.355986,"md_measurement","gibraltar"
"143",152,"gib6","Queensway","ethbenz",2005-02-02,NA,"roadside",36.141443,-5.355986,"md_measurement","gibraltar"
"144",153,"gib6","Queensway","mpxylene",2005-02-02,NA,"roadside",36.141443,-5.355986,"md_measurement","gibraltar"
"145",154,"gib6","Queensway","oxylene",2005-02-02,NA,"roadside",36.141443,-5.355986,"md_measurement","gibraltar"
"146",151,"gib6","Queensway","benzene",2005-02-02,NA,"roadside",36.141443,-5.355986,"md_measurement","gibraltar"
"147",163,"gib8","Red Sands Road","no2",2005-02-02,NA,"kerbside",36.1302,-5.35197,"md_measurement","gibraltar"
"148",252,"gib28","Rock Hotel","no2",2007-01-30,NA,"kerbside",36.131527,-5.350157,"md_measurement","gibraltar"
"149",246,"gib22","Rosia Promenade","no2",2007-01-30,NA,"roadside",36.13201,-5.352949,"md_measurement","gibraltar"
"150",300,"gib1","Rosia Road","ge10",2008-05-16,NA,"roadside",36.133317,-5.353175,"measurement","gibraltar"
"151",301,"gib1","Rosia Road","nv10",2008-05-16,NA,"roadside",36.133317,-5.353175,"measurement","gibraltar"
"152",302,"gib1","Rosia Road","v10",2008-05-16,NA,"roadside",36.133317,-5.353175,"measurement","gibraltar"
"153",214,"gib1","Rosia Road","benzo[a]anthracene",2005-12-08,NA,"roadside",36.133317,-5.353175,"md_measurement","gibraltar"
"154",195,"gib1","Rosia Road","tmp",2005-02-02,NA,"roadside",36.133317,-5.353175,"measurement","gibraltar"
"155",125,"gib1","Rosia Road","toluene",2005-02-02,NA,"roadside",36.133317,-5.353175,"md_measurement","gibraltar"
"156",122,"gib1","Rosia Road","ethbenz",2005-02-02,NA,"roadside",36.133317,-5.353175,"md_measurement","gibraltar"
"157",123,"gib1","Rosia Road","mpxylene",2005-02-02,NA,"roadside",36.133317,-5.353175,"md_measurement","gibraltar"
"158",206,"gib1","Rosia Road","ni",2005-02-02,NA,"roadside",36.133317,-5.353175,"md_measurement","gibraltar"
"159",221,"gib1","Rosia Road","fluoranthene",2005-12-08,NA,"roadside",36.133317,-5.353175,"md_measurement","gibraltar"
"160",220,"gib1","Rosia Road","dibenz[ah.ac]anthracene",2005-12-08,NA,"roadside",36.133317,-5.353175,"md_measurement","gibraltar"
"161",219,"gib1","Rosia Road","chrysene",2005-12-08,NA,"roadside",36.133317,-5.353175,"md_measurement","gibraltar"
"162",218,"gib1","Rosia Road","benzo[k]fluoranthene",2005-12-08,NA,"roadside",36.133317,-5.353175,"md_measurement","gibraltar"
"163",211,"gib1","Rosia Road","acenaphthene",2005-12-08,NA,"roadside",36.133317,-5.353175,"md_measurement","gibraltar"
"164",212,"gib1","Rosia Road","acenaphthylene",2005-12-08,NA,"roadside",36.133317,-5.353175,"md_measurement","gibraltar"
"165",213,"gib1","Rosia Road","anthracene",2005-12-08,NA,"roadside",36.133317,-5.353175,"md_measurement","gibraltar"
"166",215,"gib1","Rosia Road","benzo[a]pyrene",2005-12-08,NA,"roadside",36.133317,-5.353175,"md_measurement","gibraltar"
"167",205,"gib1","Rosia Road","cd",2006-06-20,NA,"roadside",36.133317,-5.353175,"md_measurement","gibraltar"
"168",204,"gib1","Rosia Road","as",2006-06-20,NA,"roadside",36.133317,-5.353175,"md_measurement","gibraltar"
"169",124,"gib1","Rosia Road","oxylene",2005-02-02,NA,"roadside",36.133317,-5.353175,"md_measurement","gibraltar"
"170",121,"gib1","Rosia Road","benzene",2005-02-02,NA,"roadside",36.133317,-5.353175,"md_measurement","gibraltar"
"171",217,"gib1","Rosia Road","benzo(b+j)fluoranthene",2005-12-08,NA,"roadside",36.133317,-5.353175,"md_measurement","gibraltar"
"172",223,"gib1","Rosia Road","indeno[123-cd]pyrene",2005-12-08,NA,"roadside",36.133317,-5.353175,"md_measurement","gibraltar"
"173",226,"gib1","Rosia Road","pyrene",2005-12-08,NA,"roadside",36.133317,-5.353175,"md_measurement","gibraltar"
"174",225,"gib1","Rosia Road","phenanthrene",2005-12-08,NA,"roadside",36.133317,-5.353175,"md_measurement","gibraltar"
"175",224,"gib1","Rosia Road","naphthalene",2005-12-08,NA,"roadside",36.133317,-5.353175,"md_measurement","gibraltar"
"176",222,"gib1","Rosia Road","fluorene",2005-12-08,NA,"roadside",36.133317,-5.353175,"md_measurement","gibraltar"
"177",203,"gib1","Rosia Road","pb",2005-02-02,NA,"roadside",36.133317,-5.353175,"md_measurement","gibraltar"
"178",216,"gib1","Rosia Road","benzo[ghi]perylene",2005-12-08,NA,"roadside",36.133317,-5.353175,"md_measurement","gibraltar"
"179",19,"gib1","Rosia Road","gr10",2005-02-02,NA,"roadside",36.133317,-5.353175,"measurement","gibraltar"
"180",12,"gib1","Rosia Road","temp",2005-02-02,NA,"roadside",36.133317,-5.353175,"measurement","gibraltar"
"181",14,"gib1","Rosia Road","benzene",2005-02-02,NA,"roadside",36.133317,-5.353175,"measurement","gibraltar"
"182",15,"gib1","Rosia Road","toluene",2005-02-02,NA,"roadside",36.133317,-5.353175,"measurement","gibraltar"
"183",16,"gib1","Rosia Road","ethbenz",2005-02-02,NA,"roadside",36.133317,-5.353175,"measurement","gibraltar"
"184",17,"gib1","Rosia Road","mpxylene",2005-02-02,NA,"roadside",36.133317,-5.353175,"measurement","gibraltar"
"185",18,"gib1","Rosia Road","oxylene",2005-02-02,NA,"roadside",36.133317,-5.353175,"measurement","gibraltar"
"186",26,"gib1","Rosia Road","no2",2005-02-02,NA,"roadside",36.133317,-5.353175,"md_measurement","gibraltar"
"187",20,"gib1","Rosia Road","gr25",2005-02-02,NA,"roadside",36.133317,-5.353175,"measurement","gibraltar"
"188",13,"gib1","Rosia Road","13bdiene",2005-02-02,NA,"roadside",36.133317,-5.353175,"measurement","gibraltar"
"189",11,"gib1","Rosia Road","wd",2005-02-02,NA,"roadside",36.133317,-5.353175,"measurement","gibraltar"
"190",10,"gib1","Rosia Road","ws",2005-02-02,NA,"roadside",36.133317,-5.353175,"measurement","gibraltar"
"191",2,"gib1","Rosia Road","no2",2005-02-02,NA,"roadside",36.133317,-5.353175,"measurement","gibraltar"
"192",312,"gib1","Rosia Road","sol",2012-11-26,NA,"roadside",36.133317,-5.353175,"measurement","gibraltar"
"193",313,"gib1","Rosia Road","rain",2013-04-16,NA,"roadside",36.133317,-5.353175,"measurement","gibraltar"
"194",329,"gib1","Rosia Road","rh",2009-01-01,NA,"roadside",36.133317,-5.353175,"measurement","gibraltar"
"195",1,"gib1","Rosia Road","no",2005-02-02,NA,"roadside",36.133317,-5.353175,"measurement","gibraltar"
"196",3,"gib1","Rosia Road","nox",2005-02-02,NA,"roadside",36.133317,-5.353175,"measurement","gibraltar"
"197",8,"gib1","Rosia Road","so2",2005-02-02,NA,"roadside",36.133317,-5.353175,"measurement","gibraltar"
"198",9,"gib1","Rosia Road","co",2005-02-02,NA,"roadside",36.133317,-5.353175,"measurement","gibraltar"
"199",165,"gib10","South Barracks Road","no2",2005-02-02,NA,"kerbside",36.12634,-5.35071,"md_measurement","gibraltar"
"200",259,"gib20","Sundial Roundabout","mpxylene",2007-01-30,NA,"kerbside",36.148754,-5.34956,"md_measurement","gibraltar"
"201",260,"gib20","Sundial Roundabout","oxylene",2007-01-30,NA,"kerbside",36.148754,-5.34956,"md_measurement","gibraltar"
"202",261,"gib20","Sundial Roundabout","toluene",2007-01-30,NA,"kerbside",36.148754,-5.34956,"md_measurement","gibraltar"
"203",257,"gib20","Sundial Roundabout","benzene",2007-01-30,NA,"kerbside",36.148754,-5.34956,"md_measurement","gibraltar"
"204",244,"gib20","Sundial Roundabout","no2",2007-01-30,NA,"kerbside",36.148754,-5.34956,"md_measurement","gibraltar"
"205",272,"gib20","Sundial Roundabout","no2",2007-01-30,NA,"kerbside",36.148754,-5.34956,"md_measurement","gibraltar"
"206",258,"gib20","Sundial Roundabout","ethbenz",2007-01-30,NA,"kerbside",36.148754,-5.34956,"md_measurement","gibraltar"
"207",248,"gib24","Upper Withams Entrance","no2",2007-01-30,NA,"kerbside",36.127277,-5.350808,"md_measurement","gibraltar"
"208",167,"gib12","Water Gardens","no2",2005-02-02,NA,"roadside",36.14653,-5.35507,"md_measurement","gibraltar"
"209",305,"gi4","Withams Road","nox",2008-05-15,NA,"roadside",36.128068,-5.351246,"measurement","gibraltar"
"210",303,"gi4","Withams Road","no",2008-05-15,NA,"roadside",36.128068,-5.351246,"measurement","gibraltar"
"211",308,"gi4","Withams Road","ws",2008-05-15,NA,"roadside",36.128068,-5.351246,"measurement","gibraltar"
"212",306,"gi4","Withams Road","temp",2008-05-15,NA,"roadside",36.128068,-5.351246,"measurement","gibraltar"
"213",304,"gi4","Withams Road","no2",2008-05-15,NA,"roadside",36.128068,-5.351246,"measurement","gibraltar"
"214",309,"gi4","Withams Road","tmp",2008-05-15,NA,"roadside",36.128068,-5.351246,"measurement","gibraltar"
"215",307,"gi4","Withams Road","wd",2008-05-15,NA,"roadside",36.128068,-5.351246,"measurement","gibraltar"
"216",256,"gib32","Woodford Cottage","no2",2007-01-30,NA,"kerbside",36.125225,-5.349747,"md_measurement","gibraltar"
