"","date","date_end","site","site_name","no2"
"217",2016-04-21 10:00:00,2016-04-21 11:00:00,"gi4","Withams Road",143.4375
"218",2016-04-21 11:00:00,2016-04-21 12:00:00,"gi4","Withams Road",105.1875
"219",2016-04-21 12:00:00,2016-04-21 13:00:00,"gi4","Withams Road",40.1625
"220",2016-04-21 13:00:00,2016-04-21 14:00:00,"gi4","Withams Road",7.65
"221",2016-04-21 14:00:00,2016-04-21 15:00:00,"gi4","Withams Road",24.8625
"222",2016-04-21 15:00:00,2016-04-21 16:00:00,"gi4","Withams Road",47.8125
"223",2016-04-21 16:00:00,2016-04-21 17:00:00,"gi4","Withams Road",68.85
"224",2016-04-21 17:00:00,2016-04-21 18:00:00,"gi4","Withams Road",47.8125
"225",2016-04-21 18:00:00,2016-04-21 19:00:00,"gi4","Withams Road",9.5625
"226",2016-04-21 19:00:00,2016-04-21 20:00:00,"gi4","Withams Road",15.3
"227",2016-04-21 20:00:00,2016-04-21 21:00:00,"gi4","Withams Road",53.55
"228",2016-04-21 21:00:00,2016-04-21 22:00:00,"gi4","Withams Road",32.5125
"229",2016-04-21 22:00:00,2016-04-21 23:00:00,"gi4","Withams Road",74.5875
"230",2016-04-22 00:00:00,2016-04-22 01:00:00,"gi4","Withams Road",82.2375
"231",2016-04-22 01:00:00,2016-04-22 02:00:00,"gi4","Withams Road",86.0625
"232",2016-04-22 02:00:00,2016-04-22 03:00:00,"gi4","Withams Road",59.2875
"233",2016-04-22 03:00:00,2016-04-22 04:00:00,"gi4","Withams Road",34.425
"234",2016-04-22 04:00:00,2016-04-22 05:00:00,"gi4","Withams Road",30.6
"235",2016-04-22 05:00:00,2016-04-22 06:00:00,"gi4","Withams Road",63.1125
"236",2016-04-22 06:00:00,2016-04-22 07:00:00,"gi4","Withams Road",65.025
"237",2016-04-22 07:00:00,2016-04-22 08:00:00,"gi4","Withams Road",59.2875
"238",2016-04-22 08:00:00,2016-04-22 09:00:00,"gi4","Withams Road",63.1125
"239",2016-04-22 09:00:00,2016-04-22 10:00:00,"gi4","Withams Road",70.7625
"240",2016-04-22 10:00:00,2016-04-22 11:00:00,"gi4","Withams Road",22.95
"241",2016-04-22 11:00:00,2016-04-22 12:00:00,"gi4","Withams Road",3.825
"242",2016-04-22 12:00:00,2016-04-22 13:00:00,"gi4","Withams Road",1.9125
"243",2016-04-22 13:00:00,2016-04-22 14:00:00,"gi4","Withams Road",1.9125
"244",2016-04-22 14:00:00,2016-04-22 15:00:00,"gi4","Withams Road",11.475
"245",2016-04-22 15:00:00,2016-04-22 16:00:00,"gi4","Withams Road",3.825
"246",2016-04-22 16:00:00,2016-04-22 17:00:00,"gi4","Withams Road",22.95
"247",2016-04-22 17:00:00,2016-04-22 18:00:00,"gi4","Withams Road",55.4625
"248",2016-04-22 18:00:00,2016-04-22 19:00:00,"gi4","Withams Road",53.55
"249",2016-04-22 19:00:00,2016-04-22 20:00:00,"gi4","Withams Road",55.4625
"250",2016-04-22 20:00:00,2016-04-22 21:00:00,"gi4","Withams Road",28.6875
"251",2016-04-22 21:00:00,2016-04-22 22:00:00,"gi4","Withams Road",30.6
"252",2016-04-22 22:00:00,2016-04-22 23:00:00,"gi4","Withams Road",19.125
"253",2016-04-23 00:00:00,2016-04-23 01:00:00,"gi4","Withams Road",11.475
"254",2016-04-23 01:00:00,2016-04-23 02:00:00,"gi4","Withams Road",40.1625
